name,price,comment
 Python编程三剑客新版：Python编程从入门到实践第2版+快速上手第2版+极客编程（当当套装共3册） Python编程自学套装，Python入门零基础自学教程书籍，Python项目案例开发实战，一套书轻松学习Python编程。,262.4,1219
 Python编程从数据分析到机器学习实践（微课视频版） 手机扫码看608分钟同步视频讲解+全书源代码+PPT课件+习题实验，Python3.7编程进阶图书，人工智能、机器学习、数据处理、科学计算、云开发、网络爬虫,91.8,1215
 Python+Kivy(App开发)从入门到实践(全彩版) 全新中文Python移动开发入门图书，提炼一线开发经验，精选丰富实例和流行项目，助您快速掌握Kivy技能，迈进移动APP开发的大门，配环境搭建视频讲解和项目源码,94.1,1175
 Python数据分析从入门到实践（全彩版） 零基础入门数据分析师，利用Python进行数据处理、数据分析简单高效，送数据分析专属魔卡150+方法随身查,96.0,1144
 超简单：用Python让Excel飞起来（实战150例） 零基础学python，用python实现办公自动化，让excel化繁为简，减少重复工作,78.2,1132
 Python项目开发实战入门（全彩版） Python3.7编程入门图书，人工智能，爬虫与数据处理，游戏开发，Web及App开发，帮助零基础读者迅速上手完整项目，掌握编程思维，赠送源码及视频讲解等资源,94.1,1012
 Python函数参考手册（全彩版） 专注Python内置函数，适合所有python学习者的速查工具书，参数说明详尽，易查，函数功能全，易学；351个快学快用，易用！开拓思维，解决问题，提升开发效率,26.9,940
 深入浅出Python量化交易实战 你听说了吗？他们已经在用机器割“韭菜”啦！量化交易技术，让股市赚钱不再难。免费提供配套源程序+学习视频。简单易懂，即便是非金融或投资专业的读者也可以看懂,97.0,788
 Python3网络爬虫开发实战 第2版 Python之父推荐的爬虫入门到实战教程书籍，上一版销量近10万册，静觅博客博主崔庆才倾力打造，App端也能爬,110.4,772
 Python编程入门与算法进阶 Python青少年等级考试程序软件开发教程编程入门，py基础能力训练，电子学会青少年编程考试指定用书，让孩子们轻松学习Python！,97.0,712
 Python编程练习与解答 Python入门书，精选186道涵盖各学科和日常生活的实用练习题，帮助程序员扎实掌握基础知识，提高编程技能。,48.8,696
 程序员的数学基础课 从理论到Python实践 紧紧围绕程序员的需求，内容涵盖大部分程序员所需的数学知识，涉及面广，案例生动形象，内容经典实用，提供源代码,87.2,671
 Python编程实战100例 100个编程实例 1390分钟视频讲解 核心编程应用 项目开发 python进阶 pyth 核心编程应用实例 图形界面编程 自动化编程 网络爬虫 数据库开发 多媒体处理 数据分析 人工智能编程,82.6,661
 Python GUI 设计tkinter从入门到实践（全彩版） 轻松掌握基础，快速实践应用。103个实例应用、5个高级应用、2个综合项目，附赠350分钟基础视频、tkinter速查魔卡等资源。,96.0,649
 用Python编程和实践！数学教科书 机器学习 深度学习中必要的基础知识 人工智能 数学基础书 用python学数学 线 ,80.8,648
 Python OpenCV 从入门到实践（全彩版） ,96.0,603
 Python网络爬虫从入门到实践（全彩版） Python3爬虫开发图书（彩色版）：详解自动化获取数据、数据解析、数据清洗、反爬以及数据可视化等知识，125个示例+2个综合案例+1个项目,96.0,516
 Python硬件开发树莓派从入门到实践（全彩版） 全方位讲解，简化学习难度，提升实操能力。69个实用案例、4个趣味项目、1个只能小车大项目，附赠350分钟基础视频、树莓派速查魔卡等资源,94.1,463
 用图形学Python 3 Python少儿编程入门教程，儿童视频学Python程序设计从入门到精通，教孩子学Python编程书籍，青少年Python编程入门，配套教学视频,58.7,427
 Python Web开发从入门到实践（全彩版） ,96.0,391
 Python工匠：案例、技巧与工程实践（基于Python 3.8，实现Python编程从入门到工匠的跃迁） 14个项目案例，60多个编程技巧与建议，基于Python 3.8系统进阶Python，练好工程代码，做好项目实践，实现Python编程从入门到工匠的跃迁，提供源代码下载。,97.8,383
 pandas数据预处理详解日系图书 python机器学习 深度学习 大数据处理 数据分析 数据之道 人工智能 深入浅出p Pandas数据预处理详解：机器学习和数据分析中高效的预处理方法（日系图书+双色印刷）,117.8,380
 Python黑帽子：黑客与渗透测试编程之道（第2版） 畅销经典全新再版||全球头号黑客查理米勒作序||TK教主、余弦领衔八位中国安全界大神撰文力荐||腾讯玄武资深研究员翻译||基于Python 3.x版本重写全部内容及增补大量高级话题,100.0,371
 Python从入门到精通（第2版）（软件开发视频大讲堂） Python入门经典，10万Python程序员的入门书，243集教学视频+102个精彩案例+在线答疑，Python编程从入门到实践，Python数据分析，Python爬虫，丛书连续销售12年，累计销量,78.2,366
 程序员数学 用Python学透线性代数和微积分 500余幅图片+300余个练习，图文结合，边学边练，通过写代码，重新发现数学之美，提供配套源代码和本书彩色图片下载,127.2,354
" Python数据分析与可视化 本书配套资源丰富，包括教学大纲、教学课件、电子教案、习题答案、教学进度表，作者还为本书精心录制了600分钟的微课视频。本书可作为各类高等院校计算机科学与技术、软件工程及大数据技术等专业的本科生教材,也",58.6,347
 Python算法从入门到实践（全彩版） 28种算法全方位讲解、81个算法示例、13个数学经典算法助您快速掌握算法思想,96.0,328
 Python+Office：轻松实现Python办公自动化 零基础Python办公自动化，迅速掌握Office（Word、PPT、Excel）自动化、数据处理,79.0,322
 日系图书用Python编程和实践！区块链教科书 从零创建简单区块链程序 比特币 元宇宙 数字货币 新金融底层技术 p2p 一本新型的、能看懂的区块链、比特币入门书 从零基础到创建简单区块链程序 图解区块链技术,82.6,274
 SQLAlchemy Python数据库实战 第2版 SQLalchemy入门教程 SQLalchemy使用指南 通过实例讲解如何在Python程序中使用关系型数据库,57.8,212
 Python王者归来（增强版） 台湾天龙书局科技榜霸榜3年TOP5。全彩印刷。以一敌十的Python全书=Python基础+函数设计+面向对象+计算机视觉+GUI+动画游戏+数据可视化+JSON大数据+Python办公+爬虫+人工智,162.2,199
 Django + Vue.js实战派――Python Web开发与运维 Django/Vue.js/Python/前后端分离/单元自动化测试/Postma/Redis/MySQL/Docker/Prometheus,128.0,146
 高阶Python：代码精进之路 ,168.0,58
 非常容易：Python+Office市场营销办公自动化 让营销工作超简单，零基础学python，用python实现办公自动化，减少重复工作。一书在手，营销不愁，市场营销办公自动化典型场景应用，办公人士学编程的不二之选,78.2,10
 Python玩转数学问题――轻松学习NumPy、SciPy和Matplotlib 全面讲解如何使用Python处理数学问题! 30多个示例源代码，手把手教你掌握Python第三方可扩展库的使用!,75.0,0
 快学Python：自动化办公轻松实战 Excel Word PPT PDF 数据分析 图片处理 即时通信等自动化案例实战 全彩印刷 全网累计阅读量超2000000 从入门到实践 快速上手Python编程 赠案例代码 学习视频 学习路线图,101.9,0
